sku_id,service_category,product_name,sku_name,billing_unit,quantity_driver,price_source_type,official_source_url,default_currency,pricing_region,is_active,license_rule_summary,notes
SKU-M365-E3,Microsoft 365,Microsoft 365,E3,user/month,user_count,official_page,https://www.microsoft.com/en-us/microsoft-365/enterprise/microsoft-365-plans-and-pricing,USD,global,true,SharePoint、Teams、Office、基本IDを含む業務基盤として対象利用者分を見込む。,既存保有数を入力し、不足分のみ追加数量として計算する。
SKU-M365-E5,Microsoft 365,Microsoft 365,E5,user/month,user_count,official_page,https://www.microsoft.com/en-us/microsoft-365/enterprise/microsoft-365-plans-and-pricing,USD,global,true,高度なセキュリティ、コンプライアンス、音声、分析要件が強い場合の上位候補。,E3で足りる場合は選定しない。提案時にE3/E5差分を確認する。
SKU-POWERAPPS-PREMIUM,Power Platform,Power Apps,Premium,user/month,maker_or_app_user_count,official_page,https://www.microsoft.com/en-us/power-platform/products/power-apps/pricing,USD,global,true,Dataverseやプレミアムコネクタを利用する業務アプリの利用者・作成者に必要。,PoCでは対象ユーザー全員がアプリを使うか、Makerのみかを確認する。
SKU-POWERAUTOMATE-PREMIUM,Power Platform,Power Automate,Premium,user/month,flow_owner_or_premium_user_count,official_page,https://www.microsoft.com/en-us/power-platform/products/power-automate/pricing,USD,global,true,承認、通知、外部連携、プレミアムコネクタを使うフロー所有者に必要。,フロー所有者単位か利用者単位かは実装設計で再確認する。
SKU-COPILOTSTUDIO-MESSAGES,Power Platform,Copilot Studio,Messages or capacity,tenant/month,copilot_studio_messages,official_page,https://www.microsoft.com/en-us/power-platform/products/power-apps/pricing,USD,global,true,Copilot Studioエージェントの会話容量を月間メッセージ数から見込む。,25,000メッセージ相当を1単位として概算する。
SKU-POWERBI-PRO,Power Platform,Power BI,Pro,user/month,power_bi_user_count,official_page,https://www.microsoft.com/en-us/power-platform/products/power-bi/pricing,USD,global,true,レポート作成者と共有レポート閲覧者に必要。,既存Power BI Proを控除し、不足分のみ追加数量にする。
SKU-DATAVERSE-CAPACITY,Power Platform,Dataverse,Database capacity,GB/month,dataverse_storage_gb,official_page,https://www.microsoft.com/en-us/power-platform/products/power-apps/pricing,USD,global,true,Dataverseの追加データベース容量が必要な場合に見込む。,Power Apps等に含まれる標準容量との差分は本番設計時に確認する。
SKU-AZURE-OPENAI-TOKENS,Azure,Azure OpenAI,Token usage,token,azure_openai_tokens,azure_retail_api,https://learn.microsoft.com/rest/api/cost-management/retail-prices/azure-retail-prices,USD,region,true,モデル、リージョン、入力・出力トークン量に基づくAzure従量課金。,ダッシュボードではgpt-4o-miniの入力/出力単価から月額を動的計算する。
SKU-AZURE-FUNCTIONS,Azure,Azure Functions,Consumption,10 executions,function_execution_units_10,azure_retail_api,https://learn.microsoft.com/rest/api/cost-management/retail-prices/azure-retail-prices,USD,region,true,軽量API、整形処理、外部連携、非同期ジョブをサーバーレスで実行する場合に見込む。,実行回数が少ないPoCでは小額になりやすい。
SKU-AZURE-MONITOR,Azure,Azure Monitor,Log ingestion,GB/month,log_ingestion_gb,azure_retail_api,https://learn.microsoft.com/rest/api/cost-management/retail-prices/azure-retail-prices,USD,region,true,利用ログ、エラー、監査ログの取り込み量に応じて見込む。,ログ保持期間やSentinel利用有無は別途確認する。
SKU-ENTRA-ID-P1,Security,Microsoft Entra ID,P1,user/month,user_count,official_page,https://www.microsoft.com/en-us/security/business/microsoft-entra-pricing,USD,global,true,SSO、条件付きアクセス、ID制御が必要な場合の候補。,Microsoft 365 E3に含まれる前提なら追加費用は出さない。
SKU-DEFENDER-BUSINESS,Security,Microsoft Defender for Business,Defender for Business,user/month,user_count,official_page,https://www.microsoft.com/en-us/security/business/endpoint-security/microsoft-defender-business,USD,global,true,端末保護や基本的な脅威対策を提案範囲に含める場合の候補。,既存のMicrosoft 365 Business PremiumやE5との重複を確認する。
